Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,190,2,2,68,260,34,34,34.0,0.0,130,130,130.0,0.0,1726315.789,21052.63158,63.33333333,104.5003987,184,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,80,80,10526.31579,10526.31579,34,130,72.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,90.5,34.0,130.0,80,0,0,0,0,0,0,2,68,2,260,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49860,3414,5,1,361,6,242,6,72.2,98.45912858,6,6,6.0,0.0,107498.5354,1757.469244,682.8,1301.714331,2994,3,3414,853.5,1461.124111,3029,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1464.557704,292.9115407,6,242,87.0,108.3651235,11743.0,0,1,0,0,1,0,0,0,0,101.5,72.2,6.0,100,0,0,0,0,0,0,5,361,1,6,119,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49666,50,1,3,6,18,6,6,6.0,0.0,6,6,6.0,0.0,480000.0,80000.0,16.66666667,24.58319209,45,1,0,0.0,0.0,0,0,5,2.5,2.121320344,4,1,0,0,0,0,20,60,20000.0,60000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,3,7.5,6.0,6.0,20,0,0,0,0,0,0,1,6,3,18,252,2049,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,247,2,2,74,178,37,37,37.0,0.0,89,89,89.0,0.0,1020242.915,16194.33198,82.33333333,102.8899088,198,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,8097.165992,8097.165992,37,89,57.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,72.25,37.0,89.0,64,0,0,0,0,0,0,2,74,2,178,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53430,38,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,315789.4737,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,26315.78947,26315.78947,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5234954,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.292283753,0.764094584,1744984.667,2990275.673,5197792,149,5234954,2617477.0,3649116.468,5197792,37162,0,0.0,0.0,0,0,0,0,0,0,72,32,0.573070938,0.191023646,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62178,4,2,136,182,34,34,34.0,0.0,91,91,91.0,0.0,5114.349127,96.49715333,12435.6,17368.31478,36075,4,26099,8699.666667,15023.24746,26047,4,4,4.0,0.0,4,4,0,0,0,0,80,40,64.33143556,32.16571778,34,91,50.28571429,27.81315208,773.5714286,0,0,0,0,0,0,0,0,0,58.66666667,34.0,91.0,80,0,0,0,0,0,0,4,136,2,182,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,282,2,2,70,444,35,35,35.0,0.0,222,222,222.0,0.0,1822695.035,14184.39716,94.0,70.36334273,175,48,48,48.0,0.0,48,48,59,59.0,0.0,59,59,0,0,0,0,64,64,7092.198582,7092.198582,35,222,109.8,102.4241183,10490.7,0,0,0,0,0,0,0,0,1,137.25,35.0,222.0,64,0,0,0,0,0,0,2,70,2,444,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,157,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,1070063.694,25477.70701,52.33333333,75.3812532,139,2,2,2.0,0.0,2,2,16,16.0,0.0,16,16,0,0,0,0,64,64,12738.8535,12738.8535,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,64,0,0,0,0,0,0,2,68,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,50403,1,1,0,2,0,0,0.0,0.0,2,2,2.0,0.0,39.68017777,39.68017777,50403.0,0.0,50403,50403,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,24,19.84008888,19.84008888,0,2,0.666666667,1.154700538,1.333333333,0,0,0,1,0,0,0,0,1,1.0,0.0,2.0,32,0,0,0,0,0,0,1,0,1,2,8192,26883,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6079233,6,4,327,164,233,0,54.5,89.55612765,152,0,41.0,74.05403433,80.76676778,1.644944354,675470.3333,1843936.019,5588052,4,6079233,1215846.6,2551104.926,5777418,4,341002,113667.3333,100170.5423,190440,357,0,0,0,0,132,92,0.986966612,0.657977742,0,233,44.63636364,76.93019268,5918.254545,0,0,0,1,0,0,0,0,0,49.1,54.5,41.0,132,0,0,0,0,0,0,6,327,4,164,8192,237,5,20,491177.0,0.0,491177,491177,5588052.0,0.0,5588052,5588052,BENIGN
47683,58,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,126,395,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,366409,7,6,702,482,485,0,100.2857143,177.5093559,293,2,80.33333333,116.290441,3231.361675,35.47947785,30534.08333,54583.04624,121307,3,244718,40786.33333,62706.44544,121982,3,245102,49020.4,66378.6581,121932,4,0,0,0,0,164,124,19.10433423,16.37514362,0,485,84.57142857,142.9533083,20435.64835,0,0,0,1,0,0,0,0,0,91.07692308,100.2857143,80.33333333,164,0,0,0,0,0,0,7,702,6,482,65535,31088,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,10705,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1120.971509,186.8285848,10705.0,0.0,10705,10705,10705,10705.0,0.0,10705,10705,0,0.0,0.0,0,0,0,0,0,0,40,0,186.8285848,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4063626,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,41.58847295,1.476513833,812725.2,1781694.901,3999783,3,4063626,1015906.5,1989313.258,3999783,3,0,0.0,0.0,0,0,1,0,0,0,160,32,1.230428194,0.246085639,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,360,742,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,61089700,15,15,895,6011,421,0,59.66666667,121.7923682,1460,0,400.7333333,600.2213243,113.0468802,0.491081148,2106541.379,4104774.66,10000000,48,61100000,4363550.0,5107036.636,10100000,461,61000000,4359869.429,5125106.415,10100000,48,0,0,0,0,312,384,0.245540574,0.245540574,0,1460,222.7741935,453.6928998,205837.2473,0,0,0,1,0,0,0,0,1,230.2,59.66666667,400.7333333,312,0,0,0,0,0,0,15,895,15,6011,8192,118,14,20,106085.0,134843.5562,381333,50853,10000000.0,22831.89712,10000000,9955644,BENIGN
443,114554537,24,21,3486,5783,991,0,145.25,292.3637178,1460,2,275.3809524,449.4895412,80.91342554,0.392825995,2603512.205,4330356.99,10000000,70,115000000,4978942.0,4963455.649,10100000,17984,115000000,5725970.1,4927542.994,10100000,278,0,0,0,0,492,424,0.209507197,0.183318798,0,1460,201.5,372.3183674,138620.9667,0,0,0,1,0,0,0,0,0,205.9777778,145.25,275.3809524,492,0,0,0,0,0,0,24,3486,21,5783,8192,35676,23,20,427768.1818,1294261.853,4330105,34999,9982746.909,58655.13373,10000000,9806490,BENIGN
53,61120,2,2,68,250,34,34,34.0,0.0,125,125,125.0,0.0,5202.879581,65.44502618,20373.33333,35282.4523,61114,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,32.72251309,32.72251309,34,125,70.4,49.84275273,2484.3,0,0,0,0,0,0,0,0,1,88.0,34.0,125.0,40,0,0,0,0,0,0,2,68,2,250,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
33682,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,6909,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,39598,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,50.50760139,39598.0,0.0,39598,39598,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,25.2538007,25.2538007,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,256,939,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,85,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,211764.7059,35294.11765,42.5,6.363961031,47,38,85,42.5,6.363961031,47,38,0,0.0,0.0,0,0,0,0,0,0,60,0,35294.11765,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,7947,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61620842,2,2,90,216,47,43,45.0,2.828427125,125,91,108.0,24.04163056,4.9658523,0.064913102,20500000.0,35500000.0,61500000,23504,61600000,61600000.0,0.0,61600000,61600000,61500000,61500000.0,0.0,61500000,61500000,0,0,0,0,40,52,0.032456551,0.032456551,43,125,70.6,36.23258202,1312.8,0,0,0,0,0,0,0,0,1,88.25,45.0,108.0,40,0,0,0,0,0,0,2,90,2,216,-1,-1,1,20,91093.0,0.0,91093,91093,61500000.0,0.0,61500000,61500000,BENIGN
53,30837,1,1,63,187,63,63,63.0,0.0,187,187,187.0,0.0,8107.144015,64.85715212,30837.0,0.0,30837,30837,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.42857606,32.42857606,63,187,104.3333333,71.59143338,5125.333333,0,0,0,0,0,0,0,0,1,156.5,63.0,187.0,32,0,0,0,0,0,0,1,63,1,187,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,199,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,1185929.648,20100.50251,66.33333333,109.6965511,193,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,10050.25126,10050.25126,35,83,54.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,67.75,35.0,83.0,64,0,0,0,0,0,0,2,70,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,170,2,2,58,90,29,29,29.0,0.0,45,45,45.0,0.0,870588.2353,23529.41176,56.66666667,57.49202843,118,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,11764.70588,11764.70588,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,40,0,0,0,0,0,0,2,58,2,90,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62031,1,1,44,100,44,44,44.0,0.0,100,100,100.0,0.0,2321.419935,32.24194354,62031.0,0.0,62031,62031,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16.12097177,16.12097177,44,100,62.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,94.0,44.0,100.0,20,0,0,0,0,0,0,1,44,1,100,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,605841,2,2,123,333,80,43,61.5,26.1629509,175,158,166.5,12.02081528,752.672731,6.602392377,201947.0,182800.0491,389274,24038,581803,581803.0,0.0,581803,581803,413312,413312.0,0.0,413312,413312,0,0,0,0,76,60,3.301196188,3.301196188,43,175,99.8,63.02142493,3971.7,0,0,0,0,0,0,0,0,1,124.75,61.5,166.5,76,0,0,0,0,0,0,2,123,2,333,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,46498,1,1,39,138,39,39,39.0,0.0,138,138,138.0,0.0,3806.615338,43.01260269,46498.0,0.0,46498,46498,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,21.50630135,21.50630135,39,138,72.0,57.15767665,3267.0,0,0,0,0,0,0,0,0,1,108.0,39.0,138.0,40,0,0,0,0,0,0,1,39,1,138,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,540,1,1,61,89,61,61,61.0,0.0,89,89,89.0,0.0,277777.7778,3703.703704,540.0,0.0,540,540,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,1851.851852,1851.851852,61,89,70.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,105.5,61.0,89.0,20,0,0,0,0,0,0,1,61,1,89,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,20592899,12,10,1791,4439,597,0,149.25,227.1403751,1460,0,443.9,607.2135722,302.5314697,1.068329428,980614.2381,2552507.935,9949872,3,20600000,1872081.727,3351397.982,9949872,3,15400000,1709202.111,3539327.073,10000000,214,0,0,0,0,252,212,0.582725142,0.485604285,0,1460,270.8695652,449.0473051,201643.4822,0,0,0,1,0,0,0,0,0,283.1818182,149.25,443.9,252,0,0,0,0,0,0,12,1791,10,4439,8192,10240,11,20,2733918.5,3817541.525,5433328,34509,7562529.5,3376212.142,9949872,5175187,BENIGN
51138,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,364,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48440,4,2,160,194,40,40,40.0,0.0,97,97,97.0,0.0,7308.009909,123.8645747,9688.0,14081.54929,31028,3,31079,10359.66667,17899.31586,31028,3,49,49.0,0.0,49,49,0,0,0,0,128,40,82.57638315,41.28819158,40,97,56.28571429,27.81315208,773.5714286,0,0,0,0,0,0,0,0,0,65.66666667,40.0,97.0,128,0,0,0,0,0,0,4,160,2,194,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50672,39076,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,307.0938684,51.18231139,39076.0,0.0,39076,39076,39076,39076.0,0.0,39076,39076,0,0.0,0.0,0,0,0,0,0,0,40,0,51.18231139,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,913,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50886,54,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,114,342,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,148,2,2,72,104,36,36,36.0,0.0,52,52,52.0,0.0,1189189.189,27027.02703,49.33333333,79.38723659,141,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,13513.51351,13513.51351,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53.0,36.0,52.0,40,0,0,0,0,0,0,2,72,2,104,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48102,1,1,47,104,47,47,47.0,0.0,104,104,104.0,0.0,3139.162613,41.57831275,48102.0,0.0,48102,48102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.78915638,20.78915638,47,104,66.0,32.90896534,1083.0,0,0,0,0,0,0,0,0,1,99.0,47.0,104.0,32,0,0,0,0,0,0,1,47,1,104,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,416,1,1,53,113,53,53,53.0,0.0,113,113,113.0,0.0,399038.4615,4807.692308,416.0,0.0,416,416,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,2403.846154,2403.846154,53,113,73.0,34.64101615,1200.0,0,0,0,0,0,0,0,0,1,109.5,53.0,113.0,32,0,0,0,0,0,0,1,53,1,113,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60791,1,1,54,120,54,54,54.0,0.0,120,120,120.0,0.0,2862.265796,32.89960685,60791.0,0.0,60791,60791,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.44980342,16.44980342,54,120,76.0,38.10511777,1452.0,0,0,0,0,0,0,0,0,1,114.0,54.0,120.0,32,0,0,0,0,0,0,1,54,1,120,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,259,2,2,88,344,44,44,44.0,0.0,172,172,172.0,0.0,1667953.668,15444.01544,86.33333333,144.3410314,253,2,2,2.0,0.0,2,2,4,4.0,0.0,4,4,0,0,0,0,40,40,7722.007722,7722.007722,44,172,95.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,119.0,44.0,172.0,40,0,0,0,0,0,0,2,88,2,344,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23816,2,2,68,132,34,34,34.0,0.0,66,66,66.0,0.0,8397.715821,167.9543164,7938.666667,13706.02518,23765,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,83.97715821,83.97715821,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34.0,66.0,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52620,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16384,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,42389103,88,186,3301,346288,421,0,37.51136364,112.6678563,4344,0,1861.763441,759.5144523,8247.14314,6.46392541,155271.4396,2381168.6,39300000,0,42400000,487231.069,4215369.933,39300000,0,3049760,16485.18919,141392.4425,1747244,48,0,0,0,0,2828,5960,2.076005241,4.387920169,0,4344,1271.232727,1060.651699,1124982.026,0,0,0,1,0,0,0,0,2,1275.872263,37.51136364,1861.763441,2828,0,0,0,0,0,0,88,3301,186,346288,65535,147,12,32,3079268.0,0.0,3079268,3079268,39300000.0,0.0,39300000,39300000,BENIGN
